platform,vflows,variant,resource,value,source
vivado,128,dynamic,bram36_tiles,1040.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,bram_uram_allocated_bits,38338560.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,logic_luts,14035.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,lutram_luts,1072.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,registers,8707.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,dynamic,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-dynamic-vivado/resource-summary.json
vivado,128,replay,bram36_tiles,694.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,bram_uram_allocated_bits,25583616.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,dsp_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,logic_luts,13567.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,lutram_luts,912.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,registers,7837.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,replay,uram288_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v128-c1024-j16384-vivado/resource-summary.json
vivado,128,static,bram36_tiles,500.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,bram_uram_allocated_bits,18432000.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,logic_luts,7362.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,lutram_luts,832.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,registers,6107.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,128,static,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v128-c1024-static-vivado/resource-summary.json
vivado,256,dynamic,bram36_tiles,4482.5,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,bram_uram_allocated_bits,165242880.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,logic_luts,37402.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,lutram_luts,1542.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,registers,18221.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,dynamic,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-dynamic-vivado/resource-summary.json
vivado,256,static,bram36_tiles,2082.5,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,bram_uram_allocated_bits,76769280.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,logic_luts,26859.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,lutram_luts,942.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,registers,17826.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,256,static,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json
vivado,512,dynamic,bram36_tiles,19215.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,bram_uram_allocated_bits,708341760.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,logic_luts,86161.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,lutram_luts,664.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,registers,35875.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,dynamic,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-dynamic-vivado/resource-summary.json
vivado,512,static,bram36_tiles,8647.5,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,bram_uram_allocated_bits,318781440.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,dsp_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,logic_luts,64537.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,lutram_luts,664.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,registers,37735.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,512,static,uram288_blocks,0.0,../r2-vflows/runs/rio-only-pe5-v512-c1024-static-vivado/resource-summary.json
vivado,1024,dynamic,bram36_tiles,81937.5,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,bram_uram_allocated_bits,3020544000.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,dsp_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,logic_luts,345710.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,lutram_luts,824.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,registers,76037.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,dynamic,uram288_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-dynamic-vivado/resource-summary.json
vivado,1024,replay,bram36_tiles,51230.5,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,bram_uram_allocated_bits,1888561152.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,dsp_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,logic_luts,308796.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,lutram_luts,824.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,registers,73815.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,replay,uram288_blocks,0.0,../r4-replay/runs/rio-replay-pe5-v1024-c1024-j16384-vivado/resource-summary.json
vivado,1024,static,bram36_tiles,35850.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,bram_uram_allocated_bits,1321574400.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,dsp_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,logic_luts,219107.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,lutram_luts,824.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,registers,84909.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
vivado,1024,static,uram288_blocks,0.0,../r1-fixed/runs/rio-only-pe5-v1024-c1024-static-vivado/resource-summary.json
