cycle,request_id,global_flow_id,size_bytes
2742,1007,1,48
2745,1008,2,48
2747,1009,3,48
2750,1010,4,48
2753,1011,5,48
2756,1012,6,48
2758,1013,7,48
2761,1014,8,48
2764,1015,1,48
2767,1016,2,48
2769,1017,3,48
2772,1018,4,48
2775,1019,5,48
2778,1020,6,48
2780,1021,7,48
2783,1022,8,48
2785,1023,1,48
2788,1024,2,48
2790,1025,3,48
2793,1026,4,48
2796,1027,5,48
2799,1028,6,48
2801,1029,7,48
2804,1030,8,48
2807,1031,1,48
2810,1032,2,48
2812,1033,3,48
2815,1034,4,48
2818,1035,5,48
2821,1036,6,48
2823,1037,7,48
2826,1038,8,48
2829,1039,1,48
2832,1040,2,48
2834,1041,3,48
2837,1042,4,48
2840,1043,5,48
2843,1044,6,48
2845,1045,7,48
2848,1046,8,48
2851,1047,1,48
2854,1048,2,48
2856,1049,3,48
2859,1050,4,48
2862,1051,5,48
2865,1052,6,48
2867,1053,7,48
2870,1054,8,48
2873,1055,1,48
2876,1056,2,48
2878,1057,3,48
2881,1058,4,48
2884,1059,5,48
2887,1060,6,48
2889,1061,7,48
2892,1062,8,48
2895,1063,1,48
2898,1064,2,48
2900,1065,3,48
2903,1066,4,48
2906,1067,5,48
2909,1068,6,48
2911,1069,7,48
2914,1070,8,48
2916,1071,1,48
2919,1072,2,48
2921,1073,3,48
2924,1074,4,48
2927,1075,5,48
2930,1076,6,48
2932,1077,7,48
2935,1078,8,48
2938,1079,1,48
2941,1080,2,48
2943,1081,3,48
2946,1082,4,48
2949,1083,5,48
2952,1084,6,48
2954,1085,7,48
2957,1086,8,48
2960,1087,1,48
2963,1088,2,48
2965,1089,3,48
2968,1090,4,48
2971,1091,5,48
2974,1092,6,48
2976,1093,7,48
2979,1094,8,48
2982,1095,1,48
2985,1096,2,48
2987,1097,3,48
2990,1098,4,48
2993,1099,5,48
2996,1100,6,48
2998,1101,7,48
3001,1102,8,48
3004,1103,1,48
3007,1104,2,48
3009,1105,3,48
3012,1106,4,48
3015,1107,5,48
3018,1108,6,48
3020,1109,7,48
3023,1110,8,48
3025,1111,1,48
3028,1112,2,48
3030,1113,3,48
3033,1114,4,48
3036,1115,5,48
3039,1116,6,48
3041,1117,7,48
3044,1118,8,48
3047,1119,1,48
3050,1120,2,48
3052,1121,3,48
3055,1122,4,48
3058,1123,5,48
3061,1124,6,48
3063,1125,7,48
3066,1126,8,48
3069,1127,1,48
3072,1128,2,48
3074,1129,3,48
3077,1130,4,48
3080,1131,5,48
3083,1132,6,48
3085,1133,7,48
3088,1134,8,48
3091,1135,1,48
3094,1136,2,48
3096,1137,3,48
3099,1138,4,48
3102,1139,5,48
3105,1140,6,48
3107,1141,7,48
3110,1142,8,48
3113,1143,1,48
3116,1144,2,48
3118,1145,3,48
3121,1146,4,48
3124,1147,5,48
3127,1148,6,48
3129,1149,7,48
3132,1150,8,48
3135,1151,1,48
3138,1152,2,48
3140,1153,3,48
3143,1154,4,48
3146,1155,5,48
3149,1156,6,48
3151,1157,7,48
3154,1158,8,48
3156,1159,1,48
3159,1160,2,48
3161,1161,3,48
3164,1162,4,48
3167,1163,5,48
3170,1164,6,48
3172,1165,7,48
3175,1166,8,48
3178,1167,1,48
3181,1168,2,48
3183,1169,3,48
3186,1170,4,48
3189,1171,5,48
3192,1172,6,48
3194,1173,7,48
3197,1174,8,48
3200,1175,1,48
3203,1176,2,48
