cycle,request_id,global_flow_id,size_bytes
2152,791,3,48
2155,792,4,48
2158,793,5,48
2161,794,6,48
2164,795,1,48
2167,796,2,48
2169,797,3,48
2172,798,4,48
2175,799,5,48
2178,800,6,48
2180,801,1,48
2183,802,2,48
2185,803,3,48
2188,804,4,48
2191,805,5,48
2194,806,6,48
2196,807,1,48
2199,808,2,48
2201,809,3,48
2204,810,4,48
2207,811,5,48
2210,812,6,48
2213,813,1,48
2216,814,2,48
2218,815,3,48
2221,816,4,48
2224,817,5,48
2227,818,6,48
2229,819,1,48
2232,820,2,48
2234,821,3,48
2237,822,4,48
2240,823,5,48
2243,824,6,48
2245,825,1,48
2248,826,2,48
2250,827,3,48
2253,828,4,48
2256,829,5,48
2259,830,6,48
2262,831,1,48
2265,832,2,48
2267,833,3,48
2270,834,4,48
2273,835,5,48
2276,836,6,48
2278,837,1,48
2281,838,2,48
2283,839,3,48
2286,840,4,48
2289,841,5,48
2292,842,6,48
2295,843,1,48
2298,844,2,48
2300,845,3,48
2303,846,4,48
2306,847,5,48
2309,848,6,48
2311,849,1,48
2314,850,2,48
2316,851,3,48
2319,852,4,48
2322,853,5,48
2325,854,6,48
2327,855,1,48
2330,856,2,48
2332,857,3,48
2335,858,4,48
2338,859,5,48
2341,860,6,48
2344,861,1,48
2347,862,2,48
2349,863,3,48
2352,864,4,48
2355,865,5,48
2358,866,6,48
2360,867,1,48
2363,868,2,48
2365,869,3,48
2368,870,4,48
2371,871,5,48
2374,872,6,48
2376,873,1,48
2379,874,2,48
2381,875,3,48
2384,876,4,48
2387,877,5,48
2390,878,6,48
2393,879,1,48
2396,880,2,48
2398,881,3,48
2401,882,4,48
2404,883,5,48
2407,884,6,48
2409,885,1,48
2412,886,2,48
2414,887,3,48
2417,888,4,48
2420,889,5,48
2423,890,6,48
2425,891,1,48
2428,892,2,48
2430,893,3,48
2433,894,4,48
2436,895,5,48
2439,896,6,48
2442,897,1,48
2445,898,2,48
2447,899,3,48
2450,900,4,48
2453,901,5,48
2456,902,6,48
2458,903,1,48
2461,904,2,48
2463,905,3,48
2466,906,4,48
2469,907,5,48
2472,908,6,48
2475,909,1,48
2478,910,2,48
2480,911,3,48
2483,912,4,48
2486,913,5,48
2489,914,6,48
2491,915,1,48
2494,916,2,48
2496,917,3,48
2499,918,4,48
2502,919,5,48
2505,920,6,48
2507,921,1,48
2510,922,2,48
2512,923,3,48
2515,924,4,48
2518,925,5,48
2521,926,6,48
2524,927,1,48
2527,928,2,48
2529,929,3,48
2532,930,4,48
2535,931,5,48
2538,932,6,48
2540,933,1,48
2543,934,2,48
2545,935,3,48
2548,936,4,48
2551,937,5,48
2554,938,6,48
2556,939,1,48
2559,940,2,48
2561,941,3,48
2564,942,4,48
2567,943,5,48
2570,944,6,48
2573,945,1,48
2576,946,2,48
2578,947,3,48
2581,948,4,48
2584,949,5,48
2587,950,6,48
2589,951,1,48
2592,952,2,48
2594,953,3,48
2597,954,4,48
2600,955,5,48
2603,956,6,48
2605,957,1,48
2608,958,2,48
2610,959,3,48
2613,960,4,48
2616,961,5,48
2619,962,6,48
2622,963,1,48
2625,964,2,48
2627,965,3,48
2630,966,4,48
2633,967,5,48
2636,968,6,48
2638,969,1,48
2641,970,2,48
2643,971,3,48
2646,972,4,48
2649,973,5,48
2652,974,6,48
2655,975,1,48
2658,976,2,48
2660,977,3,48
2663,978,4,48
2666,979,5,48
2669,980,6,48
2671,981,1,48
2674,982,2,48
2676,983,3,48
2679,984,4,48
2682,985,5,48
2685,986,6,48
2687,987,1,48
2690,988,2,48
2692,989,3,48
2695,990,4,48
2698,991,5,48
2701,992,6,48
2704,993,1,48
2707,994,2,48
2709,995,3,48
2712,996,4,48
2715,997,5,48
2718,998,6,48
2720,999,1,48
2723,1000,2,48
2725,1001,3,48
2728,1002,4,48
2731,1003,5,48
2734,1004,6,48
2736,1005,1,48
2739,1006,2,48
