window_start_cycle,window_end_cycle,time_relative_to_start,total_bytes_per_cycle,total_link_fraction,flow_1_bytes_per_cycle,flow_2_bytes_per_cycle,flow_1_link_fraction,flow_2_link_fraction
921,1241,480,16.8026985428,0.262542164731,8.29122404837,8.5114744944,0.129550375756,0.132991788975
929,1249,488,16.7038188111,0.260997168924,8.25996052002,8.44385829111,0.129061883125,0.131935285799
937,1257,496,16.609861765,0.259529090078,8.23685183016,8.37300993482,0.128700809846,0.130828280232
945,1265,504,16.5253632861,0.258208801346,8.22335809947,8.30200518667,0.128489970304,0.129718831042
953,1273,512,16.4449832782,0.256952863722,8.21512248247,8.2298607957,0.128361288789,0.128591574933
961,1281,520,16.3727351994,0.255823987491,8.21278268126,8.15995251815,0.128324729395,0.127499258096
969,1289,528,16.3034111226,0.254740798791,8.20924530829,8.09416581433,0.128269457942,0.126471340849
977,1297,536,16.2395332061,0.253742706346,8.20657674582,8.03295646031,0.128227761653,0.125514944692
985,1305,544,16.1794379629,0.25280371817,8.20041295889,7.97902500401,0.128131452483,0.124672265688
993,1313,552,16.1298553835,0.252028990367,8.19451717083,7.93533821264,0.128039330794,0.123989659572
1001,1321,560,16.0912113461,0.251425177282,8.18738682903,7.90382451703,0.127927919204,0.123497258079
1009,1329,568,16.0612877643,0.250957621317,8.18086437552,7.8804233888,0.127826005867,0.12313161545
1017,1337,576,16.0413403451,0.250645942892,8.17337784534,7.86796249978,0.127709028833,0.122936914059
1025,1345,584,16.032745795,0.250511653047,8.16802306406,7.86472273096,0.127625360376,0.122886292671
1033,1353,592,16.0379097516,0.250592339869,8.16492728664,7.87298246499,0.127576988854,0.123015351015
1041,1361,600,16.053128041,0.25083012564,8.16614211392,7.88698592706,0.12759597053,0.12323415511
1049,1369,608,16.0800149869,0.251250234171,8.17252853212,7.9074864548,0.127695758314,0.123554475856
1057,1377,616,16.110872642,0.251732385032,8.1811416939,7.92973094814,0.127830338967,0.123902046065
1065,1385,624,16.1470571252,0.252297767581,8.19196379231,7.95509333287,0.127999434255,0.124298333326
1073,1393,632,16.1810733291,0.252829270767,8.2004044327,7.98066889641,0.128131319261,0.124697951506
1081,1401,640,16.2171646639,0.253393197874,8.21041263677,8.00675202717,0.128287697449,0.125105500425
1089,1409,648,16.2498031774,0.253903174647,8.21812878434,8.03167439304,0.128408262255,0.125494912391
1097,1417,656,16.2814362073,0.25439744074,8.22629747699,8.05513873036,0.128535898078,0.125861542662
1105,1425,664,16.3089389625,0.254827171289,8.2318038167,8.0771351458,0.128621934636,0.126205236653
1113,1433,672,16.3306165443,0.255165883504,8.23643733858,8.0941792057,0.128694333415,0.126471550089
1121,1441,680,16.3434274752,0.2553660543,8.23586017427,8.10756730091,0.128685315223,0.126680739077
1129,1449,688,16.3462542602,0.255410222816,8.2317187696,8.11453549059,0.128620605775,0.126789617041
1137,1457,696,16.3406041098,0.255321939216,8.22201443611,8.11858967372,0.128468975564,0.126852963652
1145,1465,704,16.3277972991,0.255121832798,8.21069146728,8.11710583177,0.128292054176,0.126829778621
1153,1473,712,16.3123081865,0.254879815415,8.1982251435,8.11408304304,0.128097267867,0.126782547548
1161,1481,720,16.2951445672,0.254611633863,8.18657899223,8.10856557502,0.127915296754,0.12669633711
1169,1489,728,16.2810546947,0.254391479605,8.17782044304,8.1032342517,0.127778444422,0.126613035183
1177,1497,736,16.2677281189,0.254183251857,8.17093513301,8.09679298585,0.127670861453,0.126512390404
1185,1505,744,16.2608901142,0.254076408035,8.16764763347,8.09324248078,0.127619494273,0.126456913762
1193,1513,752,16.2553441734,0.253989752709,8.16487670155,8.09046747185,0.127576198462,0.126413554248
1201,1521,760,16.2546289311,0.253978577048,8.16567839601,8.08895053505,0.127588724938,0.12638985211
1209,1529,768,16.2566751936,0.2540105499,8.16815426965,8.08852092393,0.127627410463,0.126383139436
1217,1537,776,16.2679862354,0.254187284928,8.17692880841,8.09105742698,0.127764512631,0.126422772297
1225,1545,784,16.2860622607,0.254469722824,8.18783476264,8.09822749811,0.127934918166,0.126534804658
1233,1553,792,16.313428685,0.254897323203,8.20224452988,8.1111841551,0.128160070779,0.126737252423
1241,1561,800,16.3478651756,0.255435393369,8.21687898002,8.1309861956,0.128388734063,0.127046659306
1249,1569,808,16.3881711466,0.256065174165,8.23472977905,8.15344136752,0.128667652798,0.127397521368
1257,1577,816,16.4344659385,0.256788530289,8.25331511795,8.18115082055,0.128958048718,0.127830481571
1265,1585,824,16.4866982371,0.257604659955,8.27595086391,8.21074737322,0.129311732249,0.128292927707
1273,1593,832,16.5451082494,0.258517316396,8.30229804671,8.24281020265,0.12972340698,0.128793909416
1281,1601,840,16.6067483685,0.259480443257,8.33389224287,8.2728561256,0.130217066295,0.129263376963
1289,1609,848,16.6727880159,0.260512312749,8.37067671267,8.30211130326,0.130791823635,0.129720489113
1297,1617,856,16.7363664307,0.261505725479,8.41035079517,8.32601563552,0.131411731175,0.130093994305
1305,1625,864,16.7990655919,0.262485399873,8.45542894588,8.34363664599,0.132116077279,0.130369322594
1313,1633,872,16.8552163886,0.263362756072,8.50422519669,8.35099119189,0.132878518698,0.130484237373
1321,1641,880,16.9099503022,0.264217973471,8.55943031693,8.35051998523,0.133741098702,0.130476874769
1329,1649,888,16.9596435282,0.264994430128,8.61773703773,8.34190649049,0.134652141214,0.130342288914
1337,1657,896,17.0061190826,0.265720610666,8.68123533291,8.32488374972,0.135644302077,0.130076308589
1345,1665,904,17.0442123811,0.266315818455,8.74431786025,8.29989452085,0.136629966566,0.129685851888
1353,1673,912,17.0734901019,0.266773282842,8.80816451261,8.2653255893,0.13762757051,0.129145712333
1361,1681,920,17.0928780923,0.267076220192,8.86838644827,8.22449164401,0.138568538254,0.128507681938
1369,1689,928,17.1047324971,0.267261445267,8.92708080263,8.17765169445,0.139485637541,0.127775807726
1377,1697,936,17.1125909786,0.267384234041,8.98188463877,8.13070633983,0.140341947481,0.12704228656
1385,1705,944,17.1178309201,0.267466108127,9.03502133457,8.08280958554,0.141172208353,0.126293899774
1393,1713,952,17.1253714316,0.267583928619,9.08585291918,8.03951851243,0.141966451862,0.125617476757
1401,1721,960,17.131010454,0.267672038344,9.13178551857,7.99922493545,0.142684148728,0.124987889616
1409,1729,968,17.1399749074,0.267812107927,9.17235974462,7.96761516273,0.14331812101,0.124493986918
1417,1737,976,17.1508122222,0.267981440972,9.2071768478,7.94363537442,0.143862138247,0.124119302725
1425,1745,984,17.1672492117,0.268238268932,9.23645104016,7.93079817149,0.144319547503,0.12391872143
1433,1753,992,17.1851285024,0.26851763285,9.2565788969,7.92854960552,0.144634045264,0.123883587586
1441,1761,1000,17.2092919343,0.268895186473,9.26951766309,7.93977427119,0.144836213486,0.124058972987
1449,1769,1008,17.2360636964,0.269313495256,9.27184875706,7.96421493931,0.144872636829,0.124440858427
1457,1777,1016,17.2701215059,0.26984564853,9.26816159559,8.0019599103,0.144815024931,0.125030623598
1465,1785,1024,17.3070939668,0.270423343232,9.25530393618,8.05179003066,0.144614124003,0.125809219229
1473,1793,1032,17.348337673,0.27106777614,9.2376359665,8.11070170647,0.144338061977,0.126729714164
1481,1801,1040,17.3945379357,0.271789655245,9.21416358533,8.18037435037,0.143971306021,0.127818349224
1489,1809,1048,17.4483157142,0.272629933034,9.18897490482,8.25934080938,0.143577732888,0.129052200147
1497,1817,1056,17.5096021465,0.27358753354,9.16097568827,8.34862645826,0.143140245129,0.13044728841
1505,1825,1064,17.5733731777,0.274583955902,9.13209960109,8.44127357663,0.142689056267,0.131894899635
1513,1833,1072,17.641974301,0.275655848453,9.10297221027,8.5390020907,0.142233940785,0.133421907667
1521,1841,1080,17.7125662947,0.276758848354,9.07538273393,8.63718356072,0.141802855218,0.134955993136
1529,1849,1088,17.7863288606,0.277911388447,9.05000147093,8.73632738967,0.141406272983,0.136505115464
1537,1857,1096,17.8538781938,0.278966846778,9.02349283943,8.83038535434,0.140992075616,0.137974771162
1545,1865,1104,17.9175879908,0.279962312356,8.99871133831,8.91887665245,0.140604864661,0.139357447695
1553,1873,1112,17.9734202771,0.280834691829,8.97594894485,8.99747133222,0.140249202263,0.140585489566
1561,1881,1120,18.0250853973,0.281641959332,8.95722276754,9.06786262972,0.139956605743,0.141685353589
1569,1889,1128,18.064939719,0.28226468311,8.93713328925,9.12780642978,0.139642707645,0.142621975465
1577,1897,1136,18.0929404961,0.282702195252,8.91904454768,9.17389594844,0.139360071058,0.143342124194
1585,1905,1144,18.1040481042,0.282875751628,8.89829359649,9.2057545077,0.139035837445,0.143839914183
1593,1913,1152,18.1018406563,0.282841260254,8.87783852241,9.22400213386,0.138716226913,0.144125033342
1601,1921,1160,18.0845460276,0.282571031681,8.85495525627,9.22959077133,0.138358675879,0.144212355802
1609,1929,1168,18.0551609902,0.282111890471,8.83553714666,9.2196238435,0.138055267917,0.144056622555
1617,1937,1176,18.0163152632,0.281504925987,8.81895609386,9.1973591693,0.137796188967,0.14370873702
1625,1945,1184,17.9649402765,0.280702191821,8.8040925818,9.16084769473,0.137563946591,0.14313824523
1633,1953,1192,17.9034096882,0.279740776378,8.7958216263,9.10758806187,0.137434712911,0.142306063467
1641,1961,1200,17.8304068791,0.278600107486,8.79839240574,9.03201447339,0.13747488134,0.141125226147
1649,1969,1208,17.752098213,0.277376534578,8.81941707932,8.93268113364,0.137803391864,0.139573142713
1657,1977,1216,17.6681719832,0.276065187238,8.86090163204,8.8072703512,0.138451588001,0.137613599237
1665,1985,1224,17.5849312052,0.274764550082,8.92979256963,8.6551386356,0.1395280089,0.135236541181
1673,1993,1232,17.5112138509,0.27361271642,9.03492933925,8.47628451165,0.141170770926,0.132441945495
1681,2001,1240,17.4503301093,0.272661407957,9.1815309199,8.26879918937,0.143461420623,0.129199987334
1689,2009,1248,17.4018985242,0.271904664441,9.36845514993,8.03344337428,0.146382111718,0.125522552723
1697,2017,1256,17.3674041799,0.271365690311,9.60000239373,7.76740178617,0.150000037402,0.121365652909
1705,2025,1264,17.3470765045,0.271048070383,9.87415115385,7.47292535065,0.154283611779,0.116764458604
1713,2033,1272,17.3402577709,0.27094152767,10.1912710427,7.14898672814,0.159238610043,0.111702917627
1721,2041,1280,17.3529203777,0.271139380902,10.552945445,6.79997493276,0.164889772577,0.106249608324
1729,2049,1288,17.385271963,0.271644874422,10.9592350834,6.42603687965,0.171238048178,0.100406826244
1737,2057,1296,17.4445418493,0.272570966395,11.4114679865,6.03307386278,0.178304187289,0.0942667791059
1745,2065,1304,17.5328759979,0.273951187468,11.9093509749,5.62352502308,0.186083608982,0.0878675784856
1753,2073,1312,17.6528961955,0.275826503054,12.4495569312,5.20333926428,0.19452432705,0.0813021760044
1761,2081,1320,17.8020021434,0.278156283491,13.0276144402,4.77438770317,0.203556475629,0.074599807862
1769,2089,1328,17.9826705568,0.28097922745,13.6404612065,4.3422093503,0.213132206352,0.0678470210984
1777,2097,1336,18.1856663922,0.284151037378,14.2756297938,3.91003659837,0.223056715528,0.0610943218496
1785,2105,1344,18.4112355435,0.287675555367,14.9268706149,3.48436492858,0.233232353358,0.0544432020091
1793,2113,1352,18.6560852347,0.291501331792,15.5845516294,3.07153360525,0.24350861921,0.047992712582
1801,2121,1360,18.9147443423,0.295542880348,16.240070165,2.67467417725,0.253751096328,0.0417917840195
1809,2129,1368,19.1804099047,0.299693904761,16.8815781962,2.29883170854,0.263774659315,0.0359192454459
1817,2137,1376,19.4487019447,0.303885967886,17.502535586,1.94616635869,0.273477118532,0.0304088493546
