run,time_relative_to_start,total_link_fraction,flow_1_link_fraction,flow_2_link_fraction,flow_3_link_fraction
R4: confined replace,-744,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-732,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-720,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-708,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-696,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-684,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-672,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-660,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-648,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-636,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-624,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-612,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-600,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-588,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-576,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-564,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-552,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-540,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-528,1.000000482047493,0.400010736370106,0.599989745677387,0.0
R4: confined replace,-516,1.0000004820474928,0.39999141726305326,0.6000090647844396,0.0
R4: confined replace,-504,1.0000004820474926,0.4000045574031864,0.5999959246443063,0.0
R4: confined replace,-492,1.000000482047493,0.40000631976958545,0.5999941622779075,0.0
R4: confined replace,-480,1.0000004820474928,0.39999227371672064,0.6000082083307722,0.0
R4: confined replace,-468,1.000000482047493,0.400010736370106,0.599989745677387,0.0
