platform,vflows,configuration,resource,unit,rio_only,pifo_one,pifo_count,pifo_total,value,source,pifo_source,measurement_kind
quartus,256,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v256-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,logic_alms,ALMs,29507,54851.0,5,274255.0,303762.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,logic_aluts,ALUTs,32520,86621.0,5,433105.0,465625.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,registers,bits,17129,27697.0,5,138485.0,155614.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,block_memory_bits,bits,79244448,0.0,5,0.0,79244448.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,mlab_memory_bits,bits,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
quartus,256,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-quartus/resource-summary.json,sum_of_synthesized_components
vivado,256,static,logic_luts,LUTs,26859,109618.0,5,548090.0,574949.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,registers,bits,17826,27731.0,5,138655.0,156481.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,bram36_tiles,tiles,2082.5,0.0,5,0.0,2082.5,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,uram288_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,bram_uram_allocated_bits,bits,76769280,0.0,5,0.0,76769280.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,lutram_luts,LUTs,942,0.0,5,0.0,942.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,static,dsp_blocks,blocks,0,0.0,5,0.0,0.0,runs/rio-only-pe5-v256-c1024-static-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,logic_luts,LUTs,30999,109618.0,5,548090.0,579089.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,registers,bits,16348,27731.0,5,138655.0,155003.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,bram36_tiles,tiles,2898.0,0.0,5,0.0,2898.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,uram288_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,bram_uram_allocated_bits,bits,106831872,0.0,5,0.0,106831872.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,lutram_luts,LUTs,1142,0.0,5,0.0,1142.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
vivado,256,replay,dsp_blocks,blocks,0,0.0,5,0.0,0.0,../replay-sweep/runs/rio-replay-pe5-v256-c1024-j16384-vivado/resource-summary.json,../pifo-component/runs/pifo-house-1push-v256-c1024-t11-vivado/resource-summary.json,sum_of_synthesized_components
quartus,512,static,logic_alms,ALMs,87531,55630.0,5,278150.0,365681.0,runs/rio-only-pe5-v512-c1024-static-quartus/resource-summary.json,../pifo-component/runs/pifo-house-1push-v512-c1024-t12-quartus/resource-summary.json,sum_of_synthesized_components
